gamma,l,rho
18.0,12.0,0.5
30.0,17.0,1.0
20.0,15.0,2.0
28.0,15.0,4.0
16.0,21.0,0.0
10.0,14.0,0.1
16.0,19.0,0.5
34.0,22.0,1.0
26.0,18.0,2.0
18.0,12.0,4.0
10.0,15.0,0.0
14.0,18.0,0.1
22.0,13.0,0.5
20.0,21.0,1.0
12.0,17.0,2.0
12.0,7.0,4.0
12.0,17.0,0.0
2.0,10.0,0.1
12.0,11.0,0.5
20.0,14.0,1.0
22.0,13.0,2.0
20.0,15.0,4.0
12.0,17.0,0.0
4.0,13.0,0.1
8.0,11.0,0.5
24.0,14.0,1.0
24.0,17.0,2.0
20.0,14.0,4.0
10.0,16.0,0.0
10.0,16.0,0.1
8.0,14.0,0.5
18.0,15.0,1.0
6.0,13.0,2.0
22.0,14.0,4.0
12.0,17.0,0.0
10.0,15.0,0.1
10.0,17.0,0.5
24.0,15.0,1.0
16.0,18.0,2.0
24.0,16.0,4.0
12.0,17.0,0.0
16.0,20.0,0.1
10.0,16.0,0.5
20.0,12.0,1.0
26.0,17.0,2.0
16.0,11.0,4.0
14.0,18.0,0.0
10.0,18.0,0.1
16.0,19.0,0.5
24.0,20.0,1.0
14.0,11.0,2.0
16.0,11.0,4.0
12.0,17.0,0.0
12.0,17.0,0.1
12.0,17.0,0.5
8.0,14.0,1.0
34.0,19.0,2.0
22.0,20.0,4.0
14.0,19.0,0.0
16.0,17.0,0.1
20.0,21.0,0.5
8.0,12.0,1.0
22.0,13.0,2.0
24.0,16.0,4.0
12.0,18.0,0.0
8.0,18.0,0.1
10.0,15.0,0.5
34.0,19.0,1.0
30.0,18.0,2.0
16.0,10.0,4.0
12.0,17.0,0.0
8.0,14.0,0.1
14.0,16.0,0.5
22.0,16.0,1.0
10.0,10.0,2.0
12.0,11.0,4.0
8.0,14.0,0.0
6.0,14.0,0.1
14.0,15.0,0.5
18.0,13.0,1.0
30.0,17.0,2.0
26.0,17.0,4.0
4.0,12.0,0.0
12.0,17.0,0.1
10.0,15.0,0.5
14.0,18.0,1.0
18.0,13.0,2.0
28.0,18.0,4.0
4.0,12.0,0.0
20.0,22.0,0.1
20.0,15.0,0.5
14.0,18.0,1.0
16.0,16.0,2.0
12.0,9.0,4.0
10.0,16.0,0.0
12.0,15.0,0.1
6.0,13.0,0.5
30.0,17.0,1.0
10.0,13.0,2.0
22.0,14.0,4.0
16.0,20.0,0.0
4.0,13.0,0.1
8.0,16.0,0.5
16.0,14.0,1.0
12.0,13.0,2.0
20.0,20.0,4.0
4.0,12.0,0.0
12.0,15.0,0.1
10.0,12.0,0.5
26.0,14.0,1.0
42.0,24.0,2.0
20.0,16.0,4.0
10.0,15.0,0.0
10.0,16.0,0.1
18.0,16.0,0.5
16.0,19.0,1.0
20.0,12.0,2.0
34.0,22.0,4.0
18.0,21.0,0.0
8.0,14.0,0.1
4.0,11.0,0.5
16.0,16.0,1.0
30.0,17.0,2.0
28.0,16.0,4.0
12.0,17.0,0.0
12.0,17.0,0.1
20.0,13.0,0.5
24.0,15.0,1.0
20.0,11.0,2.0
24.0,16.0,4.0
16.0,20.0,0.0
10.0,15.0,0.1
18.0,10.0,0.5
28.0,24.0,1.0
12.0,17.0,2.0
16.0,16.0,4.0
14.0,18.0,0.0
10.0,15.0,0.1
12.0,17.0,0.5
18.0,15.0,1.0
24.0,18.0,2.0
18.0,12.0,4.0
2.0,10.0,0.0
8.0,14.0,0.1
20.0,12.0,0.5
18.0,11.0,1.0
10.0,15.0,2.0
20.0,12.0,4.0
14.0,19.0,0.0
12.0,19.0,0.1
26.0,16.0,0.5
12.0,8.0,1.0
12.0,11.0,2.0
28.0,16.0,4.0
6.0,14.0,0.0
12.0,17.0,0.1
10.0,16.0,0.5
20.0,15.0,1.0
16.0,18.0,2.0
14.0,10.0,4.0
18.0,21.0,0.0
16.0,21.0,0.1
24.0,13.0,0.5
22.0,13.0,1.0
12.0,15.0,2.0
16.0,14.0,4.0
12.0,19.0,0.0
16.0,20.0,0.1
12.0,18.0,0.5
18.0,14.0,1.0
30.0,16.0,2.0
24.0,14.0,4.0
8.0,14.0,0.0
8.0,16.0,0.1
12.0,16.0,0.5
12.0,17.0,1.0
16.0,10.0,2.0
26.0,16.0,4.0
